RR,Tx,Tn,Tavg,RH_avg,ff_avg,cluster
0.19879518072289157,0.5607476635514024,0.4117647058823528,0.45588235294117707,0.6578947368421053,0.2,high risk
0.0,0.42990654205607504,0.5147058823529411,0.32352941176470607,0.763157894736842,0.0,high risk
0.07771084337349399,0.457943925233645,0.5441176470588234,0.32352941176470607,0.763157894736842,0.0,high risk
0.10783132530120482,0.39252336448598113,0.5441176470588234,0.38235294117647145,0.6578947368421053,0.2,high risk
0.016867469879518072,0.485981308411215,0.49999999999999956,0.26470588235294157,0.8421052631578947,0.2,high risk
0.03132530120481928,0.47663551401869153,0.5294117647058818,0.4117647058823537,0.7105263157894739,0.2,high risk
0.01807228915662651,0.4672897196261685,0.44117647058823506,0.1911764705882355,0.8421052631578947,0.2,high risk
0.3030120481927711,0.4953271028037385,0.44117647058823506,0.38235294117647145,0.6842105263157894,0.4,high risk
0.058433734939759036,0.5327102803738315,0.4705882352941173,0.4705882352941182,0.6315789473684212,0.2,high risk
0.0391566265060241,0.39252336448598113,0.5147058823529411,0.2794117647058827,0.8684210526315792,0.2,high risk
0.030120481927710843,0.4672897196261685,0.49999999999999956,0.36764705882352944,0.763157894736842,0.0,high risk
0.00963855421686747,0.5420560747663554,0.5294117647058818,0.3970588235294117,0.763157894736842,0.2,high risk
0.14216867469879518,0.5981308411214954,0.5294117647058818,0.44117647058823595,0.6052631578947367,0.2,high risk
0.032530120481927716,0.3084112149532712,0.5441176470588234,0.38235294117647145,0.6052631578947367,0.2,high risk
0.0,0.3738317757009346,0.6029411764705879,0.36764705882352944,0.6315789473684212,0.0,high risk
0.0,0.5420560747663554,0.5294117647058818,0.3970588235294117,0.6052631578947367,0.4,high risk
0.0,0.504672897196262,0.49999999999999956,0.20588235294117663,0.7894736842105265,0.2,high risk
0.021084337349397592,0.24299065420560773,0.4852941176470589,0.1911764705882355,0.763157894736842,0.0,high risk
0.0006024096385542169,0.5420560747663554,0.4558823529411762,0.26470588235294157,0.763157894736842,0.2,high risk
0.040361445783132534,0.4953271028037385,0.3823529411764701,0.3970588235294117,0.7105263157894739,0.4,high risk
0.07108433734939759,0.504672897196262,0.4705882352941173,0.26470588235294157,0.8157894736842106,0.2,high risk
0.213855421686747,0.3738317757009346,0.3823529411764701,0.3529411764705883,0.736842105263158,0.2,high risk
0.18373493975903615,0.485981308411215,0.4117647058823528,0.25000000000000044,0.8157894736842106,0.2,high risk
0.13554216867469882,0.4672897196261685,0.3823529411764701,0.13235294117647056,0.7894736842105265,0.2,high risk
0.0,0.6168224299065419,0.3235294117647056,0.2941176470588238,0.6842105263157894,0.2,high risk
0.4548192771084338,0.5794392523364484,0.42647058823529393,0.2941176470588238,0.6578947368421053,0.0,high risk
0.009036144578313254,0.4018691588785046,0.44117647058823506,0.2941176470588238,0.6578947368421053,0.4,high risk
0.004819277108433735,0.4112149532710281,0.4852941176470589,0.32352941176470607,0.6842105263157894,0.2,high risk
0.12439759036144578,0.12149532710280386,0.3823529411764701,0.16176470588235325,0.8157894736842106,0.2,high risk
0.15391566265060241,0.2710280373831777,0.4117647058823528,0.2794117647058827,0.7894736842105265,0.2,high risk
0.13614457831325302,0.523364485981308,0.4705882352941173,0.32352941176470607,0.736842105263158,0.4,high risk
0.03855421686746988,0.5327102803738315,0.4705882352941173,0.4705882352941182,0.6315789473684212,0.2,high risk
0.006024096385542169,0.3738317757009346,0.5735294117647056,0.3382352941176472,0.736842105263158,0.2,high risk
0.08313253012048194,0.3457943925233642,0.49999999999999956,0.23529411764705932,0.7894736842105265,0.2,high risk
0.21084337349397592,0.2990654205607477,0.4852941176470589,0.14705882352941213,0.8684210526315792,0.2,high risk
0.08132530120481928,0.2990654205607477,0.5294117647058818,0.2794117647058827,0.8157894736842106,0.4,high risk
0.07228915662650603,0.485981308411215,0.44117647058823506,0.3529411764705883,0.7105263157894739,0.2,high risk
0.269277108433735,0.44859813084112155,0.4117647058823528,0.3529411764705883,0.736842105263158,0.2,high risk
0.03674698795180723,0.44859813084112155,0.617647058823529,0.25000000000000044,0.8684210526315792,0.2,high risk
0.2566265060240964,0.4953271028037385,0.5441176470588234,0.45588235294117707,0.6842105263157894,0.2,high risk
0.12349397590361447,0.39252336448598113,0.5588235294117645,0.4117647058823537,0.6842105263157894,0.4,high risk
0.06686746987951807,0.523364485981308,0.5294117647058818,0.36764705882352944,0.7105263157894739,0.2,high risk
0.2704819277108434,0.6728971962616823,0.35294117647058787,0.3529411764705883,0.736842105263158,0.4,high risk
