name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;conditions
surabaya;02/12/2023 17:00;31;37.7;25;70.48;0;0;;0;0;13.7;16.6;80;1008;27.4;10;88;0.3;1;10;Partially cloudy
surabaya;02/12/2023 18:00;29;34.5;25;79.06;0;0;;0;0;14;14.8;250;1008;27.4;9;7;0;0;10;Partially cloudy
surabaya;02/12/2023 19:00;28.1;33.5;25.6;86.28;0;0;;0;0;13.3;13.7;214;1009;89;6.6;0;0;0;10;Partially cloudy
surabaya;02/12/2023 20:00;27;30.1;24;83.68;0;0;;0;0;13.3;9.4;240;1009;50;10;0;0;0;10;Partially cloudy
surabaya;02/12/2023 21:00;27;30.1;24;83.68;0;0;;0;0;13.7;9.4;220;1009;50;8;0;0;0;10;Partially cloudy
surabaya;02/12/2023 22:00;26.3;26.3;24.2;88.43;0;0;;0;0;10.8;8.1;257;1009.4;63.2;8;0;0;0;10;Partially cloudy
surabaya;02/12/2023 23:00;27;30.1;24;83.68;0;0;;0;0;5;3.6;230;1009;50;8;0;0;0;10;Partially cloudy
surabaya;03/12/2023 00:00;27;30.1;24;83.68;0;0;;0;0;3.2;3.6;200;1008;50;8;0;0;0;10;Partially cloudy
surabaya;03/12/2023 01:00;26.3;26.3;25;92.69;0;0;;0;0;6.5;1.5;220;1008.4;77.4;6.4;0;0;0;10;Partially cloudy
surabaya;03/12/2023 02:00;25;25;24;94.19;0;0;;0;0;6.8;9.4;270;1008;27.4;5;0;0;0;10;Partially cloudy
surabaya;03/12/2023 03:00;25;25;24;94.19;0;0;;0;0;5.4;9.4;270;1007;27.4;5;0;0;0;10;Partially cloudy
surabaya;03/12/2023 04:00;25.7;25.7;24.8;94.73;0;0;;0;0;4.7;1.5;250;1008.1;66.5;6.4;0;0;0;10;Partially cloudy
surabaya;03/12/2023 05:00;25;25;24;94.19;0;0;;0;0;3.6;5.4;270;1008;27.4;5;0;0;0;10;Partially cloudy
surabaya;03/12/2023 06:00;26;26;25;94.23;0;0;;0;0;2.5;5.4;280;1009;27.4;8;42;0.2;0;10;Partially cloudy
surabaya;03/12/2023 07:00;28.2;33.3;25.1;83.17;0;0;;0;0;2.9;0.7;212.5;1010.2;46.5;7.8;201;0.7;2;10;Partially cloudy
surabaya;03/12/2023 08:00;30;35.1;24;70.29;0;0;;0;0;3.6;3.6;190.4;1010;27.4;5;455;1.6;5;10;Partially cloudy
surabaya;03/12/2023 09:00;32;39.2;25;66.58;0;0;;0;0;5;7.6;120;1010;27.4;7;658;2.4;7;10;Partially cloudy
surabaya;03/12/2023 10:00;33;39.5;24.1;59.52;0;0;;0;0;6.5;12.3;147;1010.1;59.9;10;830;3;8;10;Partially cloudy
surabaya;03/12/2023 11:00;34;40.6;24;56.04;0.1;100;rain;0;0;6.8;9.4;105.8;1009;27.4;10;922;3.3;9;10;Rain, Partially cloudy
surabaya;03/12/2023 12:00;34;39.4;23;52.77;0.1;100;rain;0;0;8.6;13;60;1008;50;10;887;3.2;9;10;Rain, Partially cloudy
surabaya;03/12/2023 13:00;33.7;39.9;23.9;56.64;0;0;;0;0;7.2;11.2;70;1008.5;80;10;925;3.3;9;30;Partially cloudy
surabaya;03/12/2023 14:00;32.2;36.4;22.5;56.63;0;0;;0;0;7.2;7.6;75.9;1007;98.2;24.1;773;2.8;8;30;Overcast
surabaya;03/12/2023 15:00;31.7;35.7;22.4;57.9;0.7;100;rain;0;0;6.5;6.5;66.4;1007;89.3;24.1;506;1.8;5;10;Rain, Partially cloudy
surabaya;03/12/2023 16:00;32.5;38.8;24.2;61.88;0;0;;0;0;5.4;12.6;357;1007.1;69.4;10;346;1.2;3;10;Partially cloudy
surabaya;03/12/2023 17:00;31;35.5;23;62.5;1;100;rain;0;0;5.8;13;80;1007;27.4;10;155;0.6;2;10;Rain, Partially cloudy
surabaya;03/12/2023 18:00;30;35.1;24;70.29;1.4;100;rain;0;0;9;11.2;80;1008;27.4;8;5;0;0;10;Rain, Partially cloudy
surabaya;03/12/2023 19:00;30;36.7;25.4;76.52;0;0;rain;0;0;3.6;10.3;234;1009.5;69.4;8;0;0;0;10;Partially cloudy
surabaya;03/12/2023 20:00;29;34.5;25;79.06;0;0;;0;0;8.3;11.2;110;1010;27.4;8;0;0;0;10;Partially cloudy
surabaya;03/12/2023 21:00;29;34.5;25;79.06;0.2;100;rain;0;0;14;7.6;160;1011;27.4;8;0;0;0;30;Rain, Partially cloudy
surabaya;03/12/2023 22:00;29;34.6;24.9;78.6;0;0;rain;0;0;20.5;6.1;270;1011;44.7;8;0;0;0;10;Partially cloudy
surabaya;03/12/2023 23:00;29;34.5;25;79.06;1.1;100;rain;0;0;18.7;7.6;270;1010;27.4;8;0;0;0;10;Rain, Partially cloudy
surabaya;04/12/2023 00:00;28;32.7;25;83.79;0.8;100;rain;0;0;17.3;7.6;270;1009;27.4;8;0;0;0;30;Rain, Partially cloudy
surabaya;04/12/2023 01:00;26.4;26.4;24.7;90.41;0;0;;0;0;14;2.4;283;1009.5;53.5;7.4;0;0;0;30;Partially cloudy
surabaya;04/12/2023 02:00;27;30.6;25;88.84;0;0;;0;0;11.2;9.4;270;1009;27.4;5;0;0;0;30;Partially cloudy
surabaya;04/12/2023 03:00;26;26;25;94.23;0;0;;0;0;8.3;3.6;210;1009;27.4;5;0;0;0;30;Partially cloudy
surabaya;04/12/2023 04:00;26.1;26.1;24.9;93.32;0;0;;0;0;6.8;3.6;270;1009.2;34.9;5;0;0;0;30;Partially cloudy
surabaya;04/12/2023 05:00;26;26;25;94.23;0;0;;0;0;7.6;3.6;230;1009;27.4;5;0;0;0;30;Partially cloudy
